job,count,mean,stdev,mean,stdev,mean,stdev,mean,steddev,mean,stddev
ExtractSGT 5939 110.58 141.20 175.40 177.70 155.86 176.48 20.64 0.64 65.82 0.28 
SeisSynth 404864 79.47 70.86 547.16 324.92 0.02 0.00 817.59 483.51 92.01 0.08 
ZipSeis 78 265.73 275.04 118.95 7.88 101.05 14.36 6.25 0.16 6.83 0.01
PVCOkaya 404864 0.55 2.48 0.02 0.00 0.00 0.00 3.11 0.01 16.89 0.04 
ZipPeakSA 78 195.80 237.99 1.07 0.07 2.26 0.15 6.16 0.16 2.89 0.01
